sample	tp53_mutation_status
ACTN01020001T	0
ACTN01020002T	0
ACTN01020003T	0
ACTN01020005T	0
ACTN01020006T	0
ACTN01020007T	0
ACTN01020009T	0
ACTN01020010T	0
ACTN01020011T	0
ACTN01020012T	0
ACTN01020013T	0
ACTN01020016T	0
ACTN01020017T	0
ACTN01020018T	0
ACTN01020019T	0
ACTN01020020T	0
ACTN01020021T	0
ACTN01020022T	0
ACTN01020023T	0
ACTN01020024T	0
ACTN01020026T	0
ACTN01020029T	0
ACTN01020030T	0
ACTN01020031T	0
ACTN01020032T	0
ACTN01020033T	0
ACTN01020034T	0
ACTN01020036T	0
ACTN01020037T	0
ACTN01020038T	0
ACTN01020039T	0
ACTN01020040T	0
ACTN01020042T	0
ACTN01020044T	0
ACTN01020045T	0
ACTN01020046T	0
ACTN01020047T	0
ACTN01020048T	0
ACTN01020049T	0
ACTN01020050T	0
ACTN01020051T	0
ACTN01020052T	0
ACTN01020053T	0
ACTN01020054T	0
ACTN01020055T	0
ACTN01020056T	0
ACTN01020057T	0
ACTN01020060T	0
ACTN01020061T	0
ACTN01020062T	0
ACTN01020063T	0
ACTN01020064T	0
ACTN01020066T	0
ACTN01020071T	0
ACTN01020072T	0
ACTN01020080T	0
ACTN01020084T	0
ACTN01020085T	0
ACTN01020087T	0
ACTN01020091T	0
ACTN01020093T	0
ACTN01020095T	0
ACTN01020098T	0
ACTN01020101T	0
ACTN01020102T2	0
ACTN01020103T	0
ACTN01020104T	0
ACTN01020105T	0
ACTN01020106T	0
ACTN01020108T	0
ACTN01020109T	0
ACTN01020110T	0
ACTN01020111T	0
ACTN01020113T	0
ACTN01020114T2	0
ACTN01020115T	0
ACTN01020117T	0
ACTN01020120T	0
ACTN01020121T	0
ACTN01020122T	0
ACTN01020123T	0
ACTN01020124T	0
ACTN01020127T	0
ACTN01020130T	0
ACTN01020132T	0
ACTN01020134T	0
ACTN01020136T	0
ACTN01020137T	0
ACTN01020138T	0
ACTN01020141T	0
ACTN01020142T	0
ACTN01020144T	0
ACTN01020146T	0
ACTN01020148T	0
ACTN01020149T	0
ACTN01020150T	0
ACTN01020151T	0
ACTN01020153T	0
ACTN01020154T	0
ACTN01020155T	0
ACTN01020157T	0
ACTN01020159T	0
ACTN01020162T	0
ACTN01020164T	0
ACTN01020165T	0
ACTN01020167T	0
ACTN01020168T	0
ACTN01020170T	0
ACTN01020172T	0
ACTN01020175T	0
ACTN01020176T	0
ACTN01020177T	0
ACTN01020179T	0
ACTN01020180T	0
ACTN01020181T	0
ACTN01020182T	0
ACTN01020184T	0
ACTN01020185T	0
ACTN01020189T	0
ACTN01020190T	0
ACTN01020191T	0
ACTN01020195T	0
ACTN01020196T	0
ACTN01020197T	0
ACTN01020201T	0
ACTN01020202T	0
ACTN01020203T	0
ACTN01020205T	0
ACTN01020209T	0
ACTN01020211T	0
ACTN01020212T	0
ACTN01020213T	0
ACTN01020214T	0
ACTN01020215T	0
ACTN01020217T	0
ACTN01020218T	0
ACTN01020219T	0
ACTN01020220T	0
CORE01080013T	0
CORE01080015T	0
CORE01080016T	0
CORE01080018T	0
CORE01080020T	0
CORE01130008T	0
COREDB011138T	0
COREDB011171T	0
COREDB110002T	0
COREDB110003T	0
COREDB110005T	0
COREDB110014T	0
COREDB110015T	0
COREDB110016T	0
COREDB110017T	0
COREDB110018T	0
COREDB110019T	0
COREDB110021T	0
COREDB110027T	0
COREDB110028T	0
COREDB110029T	0
COREDB110031T	0
COREDB110032T	0
COREDB110033T	0
COREDB110034T	0
CPCT02010003T	0
CPCT02010022T	0
CPCT02010031T	0
CPCT02010035T	0
CPCT02010037T	0
CPCT02010043T	0
CPCT02010050T	0
CPCT02010110TIII	0
CPCT02010122T	0
CPCT02010123T	0
CPCT02010173T	0
